iter	Passed	Remaining
437	1583	2031
438	1586	2027
439	1589	2023
440	1592	2018
441	1595	2013
442	1597	2009
443	1600	2004
444	1603	1999
445	1607	1996
446	1609	1991
447	1612	1986
448	1614	1981
449	1617	1976
450	1619	1971
451	1623	1968
452	1626	1963
453	1630	1960
454	1632	1955
455	1636	1951
456	1639	1947
457	1641	1942
458	1644	1938
459	1646	1933
460	1649	1928
461	1652	1924
462	1655	1920
463	1658	1915
464	1660	1910
465	1663	1906
466	1666	1901
467	1669	1897
468	1671	1892
469	1674	1888
470	1677	1883
471	1680	1879
472	1683	1876
473	1687	1872
474	1689	1867
475	1692	1863
476	1695	1859
477	1698	1854
478	1702	1851
479	1705	1847
480	1707	1842
481	1710	1838
482	1713	1834
483	1717	1830
484	1720	1826
485	1725	1824
486	1728	1820
487	1733	1818
488	1736	1814
489	1739	1810
490	1742	1806
491	1745	1802
492	1749	1799
493	1753	1795
494	1756	1791
495	1759	1787
496	1762	1783
497	1765	1779
498	1768	1775
499	1771	1771
500	1774	1767
501	1777	1762
502	1781	1759
503	1784	1755
504	1786	1751
505	1790	1747
506	1793	1743
507	1796	1740
508	1800	1736
509	1802	1731
510	1805	1727
511	1808	1724
512	1813	1721
513	1817	1718
514	1820	1714
515	1823	1710
516	1829	1709
517	1832	1704
518	1834	1700
519	1838	1696
520	1841	1692
521	1845	1689
522	1848	1685
523	1851	1681
524	1853	1677
525	1857	1673
526	1861	1670
527	1864	1666
528	1867	1662
529	1870	1658
530	1873	1654
531	1876	1650
532	1879	1646
533	1881	1641
534	1884	1637
535	1887	1633
536	1890	1630
537	1894	1626
538	1896	1622
539	1899	1617
540	1902	1613
541	1905	1610
542	1908	1606
543	1912	1602
544	1915	1599
545	1918	1595
546	1920	1590
547	1924	1587
548	1927	1583
549	1929	1578
550	1932	1575
551	1935	1570
552	1937	1566
553	1941	1563
554	1944	1558
555	1946	1554
556	1948	1549
557	1951	1546
558	1954	1542
559	1957	1538
560	1960	1533
561	1963	1530
562	1965	1525
563	1968	1521
564	1971	1518
565	1974	1513
566	1976	1509
567	1979	1505
568	1982	1501
569	1985	1497
570	1988	1494
571	1991	1489
572	1993	1485
573	1996	1481
574	1998	1477
575	2000	1472
576	2004	1469
577	2007	1465
578	2010	1461
579	2012	1457
580	2014	1453
581	2017	1449
582	2020	1445
583	2023	1441
584	2026	1437
585	2029	1433
586	2032	1429
587	2035	1426
588	2038	1422
589	2040	1418
590	2043	1414
591	2046	1410
592	2049	1406
593	2052	1402
594	2054	1398
595	2057	1394
596	2060	1390
597	2062	1386
598	2067	1383
599	2070	1380
600	2072	1375
601	2075	1371
602	2077	1367
603	2079	1363
604	2083	1360
605	2086	1356
606	2088	1352
607	2090	1347
608	2093	1344
609	2095	1339
610	2098	1336
611	2101	1332
612	2104	1328
613	2106	1324
614	2109	1320
615	2111	1316
616	2115	1313
617	2118	1309
618	2122	1306
619	2124	1302
620	2126	1298
621	2130	1294
622	2133	1291
623	2136	1287
624	2138	1283
625	2140	1279
626	2143	1275
627	2146	1271
628	2149	1267
629	2152	1264
630	2154	1259
631	2157	1256
632	2159	1252
633	2163	1249
634	2166	1245
635	2168	1241
636	2171	1237
637	2173	1233
638	2175	1229
639	2179	1225
640	2182	1222
641	2184	1218
642	2186	1214
643	2189	1210
644	2192	1206
645	2195	1203
646	2198	1199
647	2201	1195
648	2203	1191
649	2205	1187
650	2208	1184
651	2212	1180
652	2215	1177
653	2217	1173
654	2220	1169
655	2222	1165
656	2225	1162
657	2229	1158
658	2232	1155
659	2235	1151
660	2237	1147
661	2241	1144
662	2243	1140
663	2246	1136
664	2249	1133
665	2251	1129
666	2253	1125
667	2257	1121
668	2260	1118
669	2262	1114
670	2264	1110
671	2267	1106
672	2269	1102
673	2273	1099
674	2275	1095
675	2278	1092
676	2280	1088
677	2282	1084
678	2285	1080
679	2289	1077
680	2291	1073
681	2294	1069
682	2296	1066
683	2299	1062
684	2301	1058
685	2305	1055
686	2308	1051
687	2310	1047
688	2313	1044
689	2315	1040
690	2318	1036
691	2321	1033
692	2324	1029
693	2328	1026
694	2331	1023
695	2334	1019
696	2337	1016
697	2339	1012
698	2342	1008
699	2344	1004
700	2347	1001
701	2350	997
702	2353	994
703	2356	990
704	2358	986
705	2361	983
706	2364	979
707	2366	975
708	2370	972
709	2373	969
710	2376	965
711	2379	962
712	2382	958
713	2385	955
714	2388	951
715	2391	948
716	2393	944
717	2396	941
718	2399	937
719	2402	934
720	2405	930
721	2407	927
722	2410	923
723	2412	919
724	2415	916
725	2418	912
726	2422	909
727	2424	905
728	2427	902
729	2429	898
730	2432	895
731	2435	891
732	2439	888
733	2441	884
734	2444	881
735	2447	878
736	2451	874
737	2453	871
738	2457	867
739	2459	864
740	2462	860
741	2465	857
742	2468	853
743	2470	850
744	2473	846
745	2475	842
746	2478	839
747	2481	835
748	2483	832
749	2486	828
750	2488	825
751	2491	821
752	2493	817
753	2497	814
754	2499	811
755	2502	807
756	2504	804
757	2506	800
758	2509	796
759	2512	793
760	2515	790
761	2518	786
762	2520	782
763	2523	779
764	2527	776
765	2530	772
766	2534	769
767	2536	766
768	2539	762
769	2542	759
770	2545	756
771	2548	752
772	2551	749
773	2554	745
774	2556	742
775	2560	739
776	2563	735
777	2565	732
778	2568	728
779	2571	725
780	2574	721
781	2577	718
782	2579	714
783	2582	711
784	2585	707
785	2587	704
786	2590	701
787	2593	697
788	2595	694
789	2598	690
790	2601	687
791	2603	683
792	2606	680
793	2609	676
794	2611	673
795	2614	669
796	2616	666
797	2619	663
798	2623	659
799	2625	656
800	2628	653
801	2631	649
802	2633	646
803	2636	642
804	2639	639
805	2642	636
806	2646	632
807	2650	629
808	2652	626
809	2656	623
810	2658	619
811	2661	616
812	2663	612
813	2666	609
814	2668	605
815	2671	602
816	2674	599
817	2676	595
818	2679	592
819	2681	588
820	2684	585
821	2688	582
822	2690	578
823	2692	575
824	2696	571
825	2698	568
826	2701	565
827	2704	561
828	2706	558
829	2709	554
830	2711	551
831	2714	548
832	2717	544
833	2720	541
834	2722	538
835	2725	534
836	2727	531
837	2730	527
838	2733	524
839	2736	521
840	2738	517
841	2741	514
842	2743	511
843	2746	507
844	2749	504
845	2752	501
846	2756	497
847	2759	494
848	2762	491
849	2765	487
850	2767	484
851	2770	481
852	2772	477
853	2774	474
854	2777	470
855	2779	467
856	2783	464
857	2785	461
858	2788	457
859	2790	454
860	2793	450
861	2795	447
862	2799	444
863	2802	441
864	2804	437
865	2807	434
866	2809	431
867	2813	427
868	2815	424
869	2818	421
870	2821	417
871	2823	414
872	2825	411
873	2829	407
874	2832	404
875	2834	401
876	2839	398
877	2841	394
878	2845	391
879	2848	388
880	2851	385
881	2854	381
882	2857	378
883	2860	375
884	2863	372
885	2865	368
886	2868	365
887	2870	362
888	2873	358
889	2875	355
890	2879	352
891	2882	348
892	2885	345
893	2888	342
894	2890	339
895	2894	336
896	2897	332
897	2900	329
898	2903	326
899	2906	322
900	2910	319
901	2913	316
902	2916	313
903	2918	309
904	2921	306
905	2926	303
906	2929	300
907	2932	297
908	2935	293
909	2938	290
910	2942	287
911	2946	284
