iter	RMSE
171	1.631666685
172	1.611079134
173	1.607275438
174	1.603353329
175	1.589405153
176	1.585491335
177	1.56796616
178	1.55857886
179	1.555077263
180	1.545096635
181	1.541897362
182	1.538239865
183	1.514423442
184	1.493547088
185	1.478464806
186	1.474697508
187	1.4713801
188	1.467777719
189	1.464579705
190	1.456681564
191	1.444169755
192	1.440985595
193	1.438185682
194	1.435406151
195	1.415417178
196	1.397640158
197	1.394862735
198	1.391956349
199	1.389031372
200	1.386640137
201	1.37756015
202	1.374877491
203	1.372791647
204	1.353688672
205	1.346884036
206	1.344767989
207	1.342704813
208	1.329896954
209	1.32179721
210	1.319703871
211	1.317708102
212	1.31549119
213	1.313022491
214	1.300247631
215	1.288551294
216	1.273510227
217	1.271739977
218	1.270201967
219	1.256824687
220	1.243936455
221	1.239262064
222	1.237568044
223	1.235173342
224	1.233645922
225	1.222898963
226	1.212347697
227	1.21079978
228	1.209290467
229	1.195824429
230	1.190314572
231	1.187131484
232	1.183391773
233	1.180035818
234	1.169301483
235	1.165223561
236	1.163166471
237	1.159765426
238	1.158661656
239	1.157601276
240	1.146028274
241	1.144879524
242	1.132901264
243	1.131916767
244	1.124074369
245	1.114491975
246	1.107444485
247	1.099114396
248	1.096626182
249	1.0957599
250	1.094915208
251	1.087618783
252	1.086807915
253	1.079859188
254	1.079081863
255	1.071591887
256	1.063446518
257	1.060862792
258	1.058810794
259	1.058143526
260	1.05044897
261	1.049739659
262	1.041494843
263	1.034401347
264	1.029648176
265	1.023729967
266	1.02315295
267	1.016419971
268	1.015877855
269	1.015280598
270	1.00965613
271	1.002473472
272	0.9953558385
273	0.988474066
274	0.9822852579
275	0.9795721113
276	0.9757889595
277	0.9704896685
278	0.9700225733
279	0.9633805438
280	0.9592850202
281	0.9553404297
282	0.954936862
283	0.9545436201
284	0.9500186125
285	0.9456563697
286	0.9386813876
287	0.9314529797
288	0.9311168938
289	0.9273529893
290	0.9218605701
291	0.9167997898
292	0.9103966844
293	0.907392592
294	0.9070328651
295	0.9067420708
296	0.8999978377
297	0.8957330292
298	0.8913804087
299	0.8911118301
300	0.8869394606
301	0.8828331615
302	0.8764999002
303	0.8743484487
304	0.8707473232
305	0.8704974549
306	0.8662329603
307	0.8603815946
308	0.8571661828
309	0.8543337359
310	0.8498887896
311	0.8461258236
312	0.8430072843
313	0.8376977871
314	0.834448486
315	0.8318895774
316	0.8287129739
317	0.8259914841
318	0.8243008077
319	0.8206454809
320	0.8161021926
321	0.8105923905
322	0.8079751933
323	0.8053263456
324	0.8030619987
325	0.7997800513
326	0.796767642
327	0.7936191804
328	0.7912168614
329	0.7897998279
330	0.7856536714
331	0.783706537
332	0.7821184345
333	0.7785745121
334	0.7734953759
335	0.7696266387
336	0.7678452324
337	0.765517194
338	0.7620428232
339	0.7599019408
340	0.7570454334
341	0.7547555952
342	0.7535450934
343	0.7491823754
344	0.7450660705
345	0.7406481366
346	0.7395208999
347	0.7358350026
348	0.733798968
349	0.7302098935
350	0.7279802797
351	0.7260777678
352	0.7219744546
353	0.7206226366
354	0.7184483758
355	0.7147416827
356	0.7130644377
357	0.7110115355
358	0.7075621259
359	0.7046736642
360	0.7028604897
361	0.7008790362
362	0.6983825521
363	0.6961492196
364	0.6938664832
365	0.6911032065
366	0.6897488561
367	0.6881843608
368	0.6866868075
369	0.6845572484
370	0.6819473045
371	0.6775422124
372	0.67570347
373	0.6731749384
374	0.6711588646
375	0.6691514054
376	0.6676049814
377	0.6642659201
378	0.6623057721
379	0.6584216009
380	0.6566604498
381	0.6532043941
382	0.6520153089
383	0.6505315427
384	0.6490592425
385	0.6473687217
386	0.6462070408
387	0.6435934621
388	0.6415184175
389	0.6394989512
390	0.6381129502
391	0.6350180955
392	0.633193933
393	0.6313507911
394	0.6298211784
395	0.6278380857
396	0.6267344288
397	0.6246658748
398	0.6217605712
399	0.6202039485
400	0.6187569145
401	0.6170792094
402	0.6155466034
403	0.6127875649
404	0.6116237136
405	0.6103411619
406	0.6087481483
407	0.6067567745
408	0.6044521589
409	0.6017166236
410	0.6009105275
411	0.5984982577
412	0.597032277
413	0.5957098349
414	0.5945090423
415	0.5934435392
416	0.5921945425
417	0.5909095366
418	0.5898141813
419	0.5890286346
420	0.5873065461
421	0.5855351357
422	0.5843856168
423	0.5821139392
424	0.5800013705
425	0.5785080248
426	0.577424355
427	0.5752249271
428	0.573833788
429	0.5726755282
430	0.5715216174
431	0.5694329946
432	0.5681668717
433	0.5662330235
434	0.5650234134
435	0.5630696904
436	0.5617786256
437	0.5605858662
438	0.5596419331
439	0.558883741
440	0.5572707078
441	0.5553488589
442	0.5541238304
443	0.5536346504
444	0.5527511377
445	0.5509465909
446	0.5506571947
447	0.5494128308
448	0.5479250697
449	0.5461789985
450	0.5458871739
451	0.5449161547
452	0.544457076
453	0.5426465858
454	0.5413324586
455	0.5396141375
456	0.5383361518
457	0.5351872063
458	0.5324397105
459	0.5314193999
460	0.5307884294
461	0.5305564211
462	0.5299238777
463	0.5278399046
464	0.5257581122
465	0.5249003136
466	0.5228830733
467	0.5216833137
468	0.5215244864
469	0.520558076
470	0.5189522547
471	0.5184023313
472	0.516910298
473	0.5162140843
474	0.5158484455
475	0.5138806785
476	0.5122675206
477	0.5113408594
478	0.5104506678
479	0.5095448082
480	0.5089192678
481	0.508371364
482	0.5080344485
483	0.5065911763
484	0.5054739884
485	0.5046231319
486	0.5039028141
487	0.502375973
488	0.5018036424
489	0.5003220055
490	0.4986812205
491	0.497428625
492	0.4963461521
493	0.4957550591
494	0.4953802209
495	0.4942967956
496	0.4929971436
497	0.4921611888
498	0.4914179333
499	0.490575983
500	0.4896800649
501	0.4886617445
502	0.4869384662
503	0.4861080819
504	0.4853760723
505	0.4847739032
506	0.4836264641
507	0.4823021034
508	0.481974511
509	0.4811919339
510	0.4807572941
511	0.4796178925
512	0.4793651428
513	0.4782638707
514	0.4775569346
515	0.4759804593
516	0.474312301
517	0.4740691962
518	0.4734702574
519	0.4729365943
520	0.472063186
521	0.4718509078
522	0.4713759317
523	0.4707249697
524	0.4701958395
525	0.4690713936
526	0.46800825
527	0.4662972389
528	0.4655751939
529	0.4654139887
530	0.4639172004
531	0.4631695619
532	0.4625796768
533	0.4625256366
534	0.4616302149
535	0.4613268302
536	0.4608239983
537	0.4604228162
538	0.4590078204
539	0.457959413
540	0.457119471
541	0.4562126708
542	0.4551524646
543	0.4546582206
544	0.4540199573
545	0.4527144568
546	0.4522006059
547	0.4511369112
548	0.4501392688
549	0.4496749002
550	0.4487606893
551	0.4478809278
552	0.4472867677
553	0.4462861624
554	0.4462392245
555	0.4443476432
556	0.443805165
557	0.4433490961
558	0.4428402575
559	0.4422798429
560	0.4407913658
561	0.4392530164
562	0.4388634276
563	0.4385295326
564	0.4377752852
565	0.4370400423
566	0.4367112323
567	0.4366649441
568	0.4357989917
569	0.4353373324
570	0.4343555983
571	0.4340641904
572	0.4335248152
573	0.4327419875
574	0.4318629738
575	0.4314322331
576	0.430956674
577	0.4302206495
578	0.4297487649
579	0.4288041427
580	0.4282750721
581	0.4278003711
582	0.4267832293
583	0.4261055186
584	0.4251025821
585	0.4240797746
586	0.4231354945
587	0.4227545539
588	0.4219096638
589	0.4211625571
590	0.4211191427
591	0.4206162148
592	0.4201812664
593	0.4195209334
594	0.4188652614
595	0.4181138976
596	0.4175703352
597	0.4172355463
598	0.4167665713
599	0.4164998323
600	0.415917511
601	0.4152605128
602	0.41473177
603	0.4137790766
604	0.413206604
605	0.4126416079
606	0.4119720283
607	0.4111217022
608	0.4105573542
609	0.4103072292
610	0.4092656664
611	0.4092080356
612	0.4086977472
613	0.4078686233
614	0.407608324
615	0.4068959894
616	0.4066118811
617	0.4060498996
618	0.4057885251
619	0.4053191983
620	0.4041277372
621	0.4037395177
622	0.4029879353
623	0.402223198
624	0.4014877219
625	0.4002718224
626	0.399786613
627	0.3990101201
628	0.3983516368
629	0.397957043
630	0.3978022338
631	0.3970662258
632	0.3962733234
633	0.3956153039
634	0.394925211
635	0.3948584767
636	0.3943735438
637	0.3943366238
638	0.3937821826
639	0.3935473013
640	0.3930939766
641	0.3926676751
642	0.3921058136
643	0.391475912
644	0.3910058242
645	0.3906254145
646	0.3904942166
647	0.3898351086
648	0.3895512813
649	0.3891367803
650	0.3885648541
651	0.3881452596
652	0.3876686372
653	0.3871030428
654	0.386825659
655	0.3859982606
656	0.3855134474
657	0.385135019
658	0.3847214191
659	0.3845412716
660	0.3835163685
661	0.3830776845
662	0.3828047455
663	0.3822652035
664	0.3815855931
665	0.3812524958
666	0.3809005615
667	0.3803893416
668	0.3800196085
669	0.3797820461
670	0.3793060794
671	0.3790271138
672	0.3785101434
673	0.3784766435
674	0.3782582398
675	0.3773512275
676	0.3767134579
677	0.3766185311
678	0.3760042484
679	0.375451444
680	0.3744417403
681	0.374073828
682	0.3735871697
683	0.373314753
684	0.3726499985
685	0.3722643832
686	0.3717613553
687	0.3710672135
688	0.3710179837
689	0.370354187
690	0.3696152105
691	0.3694819897
692	0.369324524
693	0.3688287589
694	0.3681399468
695	0.3674753594
696	0.3668088705
697	0.3664083994
698	0.3658541961
699	0.3655040958
700	0.3650225122
701	0.3646034023
702	0.3640922836
703	0.3636361914
704	0.3634602249
705	0.3628741996
706	0.3623130038
707	0.3619811133
708	0.3617269938
709	0.3610295985
710	0.3602876197
711	0.3599056524
712	0.3596664374
713	0.3592740148
714	0.3586823111
715	0.3585485182
716	0.3580456988
717	0.357480543
718	0.3573353828
719	0.3567233705
720	0.3564456751
721	0.3563998387
722	0.3559686094
723	0.3556325064
724	0.3552636719
725	0.3546628276
726	0.3542998301
727	0.3537253322
728	0.3533993772
729	0.3531111107
730	0.3523497373
731	0.3517523559
732	0.3514653962
733	0.3510478026
734	0.3505981233
735	0.3503484142
736	0.3497903977
737	0.3497544172
738	0.3490447029
739	0.348534915
740	0.3484947482
741	0.3480979423
742	0.3475843719
743	0.3473406829
744	0.3472076317
745	0.3470058727
746	0.3466457132
747	0.3463027407
748	0.3462646744
749	0.3458724913
750	0.3456497477
751	0.3452742748
752	0.3449915454
753	0.3445955173
754	0.3441797582
755	0.3431935846
756	0.3431514785
757	0.3429952386
758	0.3424917796
759	0.3418940494
760	0.3414294191
761	0.3411061953
762	0.3407351334
763	0.3402533517
764	0.3393606726
765	0.339132934
766	0.3388726902
767	0.3384333301
768	0.3381186284
769	0.3375237144
770	0.337407653
771	0.3367003814
772	0.3358321798
773	0.3353928165
774	0.334748808
775	0.3345430915
776	0.3340809348
777	0.3332805254
778	0.3329612783
779	0.3327112569
780	0.3322325727
781	0.3318954992
782	0.3314248253
783	0.3310280832
784	0.3305317445
785	0.3304991308
786	0.3304715146
787	0.3302379376
788	0.3299220857
789	0.3297871193
790	0.3293034639
791	0.3289814228
792	0.3286859886
793	0.3282558145
794	0.32775799
795	0.3273231753
796	0.3269244292
797	0.3265056789
798	0.3262239879
799	0.3259388125
800	0.3257511154
801	0.3254203901
802	0.3253251644
803	0.3247003171
804	0.324257105
805	0.323546302
806	0.3230275215
807	0.3226325568
808	0.3226106844
809	0.322378968
810	0.3221324412
811	0.3218410847
812	0.3217341794
813	0.3215924927
814	0.3211970948
815	0.32103776
816	0.3204632052
817	0.320040184
818	0.3198019051
819	0.3191668869
820	0.3188879677
821	0.3186239852
822	0.3181057386
823	0.3176839919
824	0.3174244933
825	0.3170765944
826	0.3167292526
827	0.3164766649
828	0.3161810523
829	0.315885518
830	0.3153648478
831	0.3150163064
832	0.3145670651
833	0.3143423264
834	0.3139032337
835	0.3138835562
836	0.3135094374
837	0.3131755515
838	0.3131554034
839	0.3126398236
840	0.3122138225
841	0.3117038399
842	0.3114688167
843	0.311098365
844	0.3108268985
845	0.3105173094
846	0.3103311153
847	0.3100519622
848	0.3094325703
849	0.309222388
850	0.308952688
851	0.3087546937
852	0.3081241472
853	0.3078136497
854	0.3074499339
855	0.307202283
856	0.3068163367
857	0.306485929
858	0.3061795318
859	0.3056332479
860	0.3051783815
861	0.3048476514
862	0.3046121346
863	0.3041495046
864	0.3039972562
865	0.3034083572
866	0.3032210779
867	0.3028252216
868	0.3027071765
869	0.3026177625
870	0.3025898022
871	0.3023284989
872	0.3019273167
873	0.3017119868
874	0.3013954801
875	0.3011818559
876	0.3009414144
877	0.3007041267
878	0.3001924426
879	0.2996603375
880	0.2995639202
881	0.2991311875
882	0.2986996288
883	0.2980140709
884	0.2978078176
885	0.2976995964
886	0.2973000418
887	0.2968355078
888	0.2965736697
889	0.2964103107
890	0.2960172936
891	0.2958465308
892	0.2955835098
893	0.2951561806
894	0.2946374871
895	0.2943664872
896	0.2941311656
897	0.2937507725
898	0.2931961962
899	0.2930357607
900	0.2926467918
901	0.2922949992
902	0.2919498183
903	0.2918040146
904	0.2913654351
905	0.2911442498
906	0.2907006735
907	0.2905482451
908	0.2900714487
909	0.2897449711
910	0.2894428101
911	0.2892873324
912	0.2887852635
913	0.2884216978
914	0.2878963838
915	0.2875693215
916	0.2871645407
917	0.2869884862
918	0.2866706529
919	0.2864628296
920	0.2860967134
921	0.2856806076
922	0.2854822203
923	0.2851718619
924	0.2847791339
925	0.2845686254
926	0.2840234639
927	0.2836964628
928	0.2833228275
929	0.2831353177
930	0.2828243785
931	0.2824473853
932	0.2821773586
933	0.2818982639
934	0.2815704131
935	0.2812249015
936	0.2811854453
937	0.2808907534
938	0.280558456
939	0.2805151651
940	0.2801927623
941	0.2800137176
942	0.2796026988
943	0.2793959494
944	0.2790149385
945	0.2786897165
946	0.2784559509
947	0.2781923334
948	0.2778431006
949	0.2774889004
950	0.277230445
951	0.2769103081
952	0.2766425764
953	0.276348686
954	0.276031953
955	0.2757267852
956	0.2755099302
957	0.2754712336
958	0.2752594123
959	0.275031018
960	0.2749046723
961	0.2745490919
962	0.2742003693
963	0.2739271121
964	0.2738971519
965	0.2735506733
966	0.2733936857
967	0.2732548847
968	0.2729339564
969	0.2727342925
970	0.272501329
971	0.272273525
972	0.2718545066
973	0.271575563
974	0.2712029534
975	0.2711081989
976	0.2709204724
977	0.2707034788
978	0.2703654464
979	0.27013896
980	0.2697449296
981	0.2694409457
982	0.2692350438
983	0.2688202292
984	0.268437749
985	0.2681287938
986	0.26790048
987	0.2676670282
988	0.2674710118
989	0.2673361219
990	0.2672558394
991	0.2671075786
992	0.26695451
993	0.2668455922
994	0.2667364264
995	0.2664958079
996	0.2661527249
997	0.2659750393
998	0.2656467759
999	0.2651525143
